data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
09/02/2010;16:58:00;68;com vitima;36,7;BR-392/RS;Norte;Colisao Frontal;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0
09/02/2010;12:16:00;40;com vitima;52,5;BR-392/RS;Norte;Abalr.Mesmo Sentido;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0
09/02/2010;15:34:00;60;sem vitima;518,8;BR-116/RS;Norte;Outros tipos de acidente;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
09/02/2010;18:01:00;72;sem vitima;161,7;BR-293/RS;Norte;Colisao Traseira;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
09/02/2010;05:56:00;15;com vitima;548,5;BR-116/RS;Sul;Atropelamento de Animal;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
09/02/2010;07:03:00;18;com vitima;150,1;BR-392/RS;Norte;Saida de Pista;1;0;0;0;0;0;0;0;0;0;0;2;2;2;0
10/02/2010;14:07:00;64;com vitima;36;BR-392/RS;Sul;Outros tipos de acidente;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
10/02/2010;17:19:00;81;sem vitima;61,9;BR-293/RS;Norte;Saida de Pista;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
10/02/2010;16:24:00;77;com vitima;88,5;BR-392/RS;Norte;Abalr.Sentido Oposto;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
11/02/2010;08:12:00;26;sem vitima;26,8;BR-392/RS;Sul;Colisao Traseira;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
11/02/2010;00:09:00;2;sem vitima;621,6;BR-116/RS;Sul;Atropelamento de Animal;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0
12/02/2010;16:29:00;79;sem vitima;436,3;BR-116/RS;Norte;Saida de Pista;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
12/02/2010;18:36:00;95;com vitima;60,5;BR-392/RS;Sul;Colisao Traseira;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0
12/02/2010;22:04:00;121;com vitima;525,4;BR-116/RS;Sul;Tombamento;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
12/02/2010;09:18:00;36;sem vitima;528,8;BR-116/RS;Norte;Colisao Traseira;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
12/02/2010;15:35:00;76;com vitima;101,4;BR-392/RS;Sul;Abalr.Transversal;1;0;0;0;1;0;0;0;0;0;7;1;0;0;0
13/02/2010;14:41:00;52;sem vitima;29;BR-392/RS;Sul;Tombamento;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
13/02/2010;10:18:00;28;com vitima;53,6;BR-392/RS;Sul;Colisao Traseira;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0
13/02/2010;03:27:00;10;sem vitima;541,3;BR-116/RS;Sul;Atropelamento de Animal;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
14/02/2010;06:03:00;16;com vitima;14;BR-293/RS;Norte;Colisao Frontal;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0
14/02/2010;16:14:00;57;sem vitima;17,4;BR-293/RS;Norte;Saida de Pista;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0
14/02/2010;21:46:00;93;com vitima;34;BR-293/RS;Norte;Atropelamento de Animal;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0
14/02/2010;21:40:00;92;sem vitima;511,5;BR-116/RS;Norte;Colisao Traseira;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
14/02/2010;20:38:00;85;sem vitima;520,9;BR-116/RS;Sul;Abalr.Transversal;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
15/02/2010;12:05:00;45;com vitima;54,5;BR-392/RS;Norte;Saida de Pista;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0
16/02/2010;21:01:00;99;sem vitima;9,2;BR-392/RS;Norte;Colisao Traseira;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
16/02/2010;17:32:00;78;com vitima;59,9;BR-392/RS;Norte;Colisao Traseira;1;0;0;1;0;0;0;0;0;0;2;0;2;0;0
16/02/2010;16:40:00;71;sem vitima;118,5;BR-392/RS;Sul;Colisao com Objeto Fixo;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
17/02/2010;14:55:00;66;com vitima;7,1;BR-392/RS;Norte;Tombamento;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0
17/02/2010;16:37:00;69;com vitima;431;BR-116/RS;Norte;Saida de Pista;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2
17/02/2010;19:00:00;86;com vitima;12,5;BR-392/RS;Norte;Colisao Traseira;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0
17/02/2010;06:58:00;14;com vitima;588,5;BR-116/RS;Norte;Colisao Traseira;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
19/02/2010;07:49:00;13;sem vitima;438;BR-116/RS;Norte;Saida de Pista;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0
20/02/2010;23:40:00;105;com vitima;14,3;BR-293/RS;Norte;Abalr.Sentido Oposto;1;0;0;0;0;0;0;0;0;0;1;0;0;1;2
20/02/2010;22:51:00;103;com vitima;16,7;BR-392/RS;Sul;Tombamento;1;0;0;1;0;0;0;0;0;0;4;0;1;0;0
20/02/2010;05:40:00;15;sem vitima;122,5;BR-293/RS;Norte;Saida de Pista;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
20/02/2010;19:40:00;88;com vitima;556,8;BR-116/RS;Norte;Tombamento;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
21/02/2010;17:41:00;84;com vitima;171,1;BR-392/RS;Sul;Saida de Pista;3;0;0;0;0;0;0;0;0;0;11;1;0;0;0
22/02/2010;03:53:00;13;com vitima;26,4;BR-392/RS;Sul;Saida de Pista;1;0;0;1;0;0;;0;0;0;1;1;0;0;0
22/02/2010;17:32:00;91;sem vitima;26,5;BR-392/RS;Sul;Tombamento;1;0;0;0;0;0;;0;0;0;1;0;0;0;0
22/02/2010;23:06:00;116;sem vitima;65,3;BR-392/RS;Norte;Atropelamento de Animal;1;0;0;0;0;0;;0;0;0;2;0;0;0;0
22/02/2010;00:02:00;1;sem vitima;66,9;BR-392/RS;Sul;Saida de Pista;1;0;0;0;0;0;;0;0;0;3;0;0;0;0
22/02/2010;17:24:00;88;sem vitima;151,8;BR-293/RS;Norte;Saida de Pista;1;0;0;0;0;0;;0;0;0;1;0;0;0;0
22/02/2010;00:18:00;2;sem vitima;99,5;BR-392/RS;Sul;Tombamento;0;0;0;0;0;0;;0;0;0;2;0;0;0;0
22/02/2010;10:17:00;42;sem vitima;599,7;BR-116/RS;Sul;Saida de Pista;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
24/02/2010;18:32:00;83;sem vitima;404,3;BR-116/RS;Sul;Abalr.Mesmo Sentido;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
25/02/2010;12:31:00;48;sem vitima;458;BR-116/RS;Sul;Atropelamento de Animal;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
25/02/2010;04:59:00;15;com vitima;459,5;BR-116/RS;Norte;Atropelamento de Animal;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0
27/02/2010;06:27:00;15;com vitima;26,5;BR-392/RS;Sul;Abalr.Mesmo Sentido;1;0;1;0;0;0;0;0;0;0;2;0;2;0;0
28/02/2010;03:37:00;10;com vitima;26,5;BR-392/RS;Sul;Saida de Pista;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
